,id,market,name,season_type,year,assists,blocked_att,blocks,def_rebounds,fast_break_pts,field_goals_att,field_goals_made,flagrant_fouls,free_throws_att,free_throws_made,minutes,off_rebounds,paint_pts,personal_fouls,points,points_off_turnovers,rebounds,second_chance_pts,steals,three_points_att,three_points_made,turnovers,two_points_att,two_points_made,wins,losses,conference,division
46,5,D,M,R,2013,23.6,3.51,4.34,30.66,12.22,83.63,39.62,0.05,21.13,16.8,241.8,10.24,41.37,19.95,104.8,17.17,40.9,11.95,8.59,22.89,8.79,13.54,60.74,30.83,49,33,W,S
47,5,D,M,R,2014,22.5,3.83,4.52,31.8,15.98,85.8,39.7,0.01,22.48,16.9,242.4,10.46,42.71,20.05,105.2,18.74,42.27,13.09,8.09,25.39,8.93,12.95,60.41,30.77,50,32,W,S
48,5,P,S,R,2013,19.1,4.05,4.56,31.72,18.63,83.48,38.68,0.02,24.44,18.54,240.9,11.32,42.15,21.93,105.2,17.29,43.04,12.71,8.39,25.06,9.33,15.34,58.41,29.35,48,34,W,P
49,5,P,S,R,2014,20.2,4.11,4.7,32.23,18.2,85.83,38.76,0.09,21.55,16.38,242.4,10.93,42.8,21.27,102.4,17.61,43.16,12.62,8.54,24.98,8.51,15.1,60.85,30.24,39,43,W,P
50,5,O,T,R,2013,21.9,3.61,6.11,33.91,16.23,82.71,38.95,0.02,25.02,20.16,241.5,10.82,42.15,22.66,106.2,17.56,44.73,13.43,8.27,22.43,8.1,15.32,60.28,30.85,59,23,W,N
51,5,O,T,R,2014,20.5,4.6,5.54,34.68,17.0,86.82,38.83,0.07,24.63,18.59,241.8,12.83,44.83,22.3,104.0,15.39,47.51,15.21,7.29,22.73,7.71,14.7,64.09,31.12,45,37,W,N
52,5,P,T,R,2013,23.2,3.71,4.72,33.98,10.9,87.0,39.11,0.04,23.49,19.13,242.1,12.46,37.68,19.22,106.7,13.7,46.44,15.8,5.54,25.26,9.39,13.72,61.74,29.72,54,28,W,N
53,5,P,T,R,2014,21.9,3.62,4.54,35.13,10.09,85.96,38.72,0.05,19.38,15.51,242.1,10.72,37.88,18.22,102.8,14.15,45.85,13.44,6.4,27.21,9.84,13.62,58.76,28.88,51,31,W,N
54,5,S,K,R,2013,18.9,5.6,3.88,32.39,13.06,82.51,36.9,0.05,27.28,20.71,241.8,12.07,43.98,22.55,100.5,15.1,44.46,15.22,7.16,17.99,5.99,15.23,64.52,30.91,28,54,W,P
55,5,S,K,R,2014,20.3,6.2,3.95,33.27,14.94,80.7,36.71,0.04,29.27,22.3,242.1,10.91,45.1,20.68,101.3,15.26,44.18,14.01,6.71,16.46,5.62,16.26,64.23,31.09,29,53,W,P
56,5,D,N,R,2013,22.4,5.6,5.6,33.13,15.66,85.88,38.38,0.04,26.27,19.06,240.9,12.3,46.2,23.05,104.4,16.26,45.44,14.3,7.5,23.89,8.56,15.91,61.99,29.82,36,46,W,N
57,5,D,N,R,2014,21.8,6.15,4.48,32.35,15.02,87.29,37.79,0.11,24.28,17.83,242.4,12.34,44.78,22.95,101.5,16.74,44.7,14.35,7.82,24.78,8.05,14.22,62.51,29.74,30,52,W,N
58,5,O,M,R,2013,21.0,5.43,4.27,32.37,11.11,82.73,36.85,0.05,20.9,15.94,243.4,9.68,38.2,20.46,96.5,14.26,42.05,11.85,7.68,19.46,6.87,14.9,63.27,29.99,23,59,E,S
59,5,O,M,R,2014,20.6,5.38,3.83,31.79,11.26,82.83,37.51,0.04,19.09,13.91,240.9,10.02,45.15,20.9,95.7,16.52,41.82,11.82,7.89,19.49,6.76,14.89,63.34,30.76,25,57,E,S
